00027918-r	til_now%4:02:00::
00027918-r	until_now%4:02:00::
00028198-r	so_far%4:02:01::
00028198-r	yet%4:02:05::
00028319-r	only%4:02:06::
00028424-r	however%4:02:01::
00028578-r	however%4:02:02::
00028797-r	however%4:02:04::
00028923-r	lightly%4:02:04::
00029037-r	besides%4:02:01::
00029037-r	in_any_case%4:02:02::
00029278-r	fugally%4:02:00::
00029367-r	furthermore%4:02:00::
00029367-r	moreover%4:02:00::
00029367-r	what_is_more%4:02:00::
00029639-r	farther%4:02:00::
00029639-r	further%4:02:00::
00029985-r	further%4:02:02::
00029985-r	farther%4:02:02::
00030443-r	further%4:02:03::
00030654-r	farthest%4:02:00::
00030654-r	furthest%4:02:00::
00030914-r	furthest%4:02:01::
00030914-r	farthest%4:02:01::
00031214-r	futilely%4:02:00::
00031304-r	still%4:02:01::
00031515-r	no_longer%4:02:00::
00031515-r	no_more%4:02:01::
00031606-r	anymore%4:02:01::
00031606-r	any_longer%4:02:01::
00031798-r	already%4:02:00::
00031899-r	very%4:02:00::
00031899-r	really%4:02:00::
00031899-r	real%4:02:01::
00031899-r	rattling%4:02:00::
00032180-r	fabulously%4:02:00::
00032180-r	fantastically%4:02:00::
00032180-r	incredibly%4:02:02::
00032299-r	mighty%4:02:00::
00032299-r	mightily%4:02:00::
00032299-r	powerful%4:02:00::
00032299-r	right%4:02:06::
00032598-r	good_and%4:02:00::
00032705-r	fucking%4:02:00::
00032803-r	much%4:02:03::
00032863-r	henceforth%4:02:00::
00032863-r	henceforward%4:02:00::
00032996-r	hereafter%4:02:01::
00033139-r	hereafter%4:02:03::
00033237-r	hereunder%4:02:01::
00033308-r	just%4:02:01::
00033308-r	just_now%4:02:00::
00033421-r	instantaneously%4:02:00::
00033421-r	outright%4:02:02::
00033421-r	instantly%4:02:02::
00033421-r	in_a_flash%4:02:00::
00033562-r	mildly%4:02:00::
00033663-r	a_bit%4:02:00::
00033663-r	a_little%4:02:00::
00033663-r	a_trifle%4:02:00::
00033809-r	anon%4:02:00::
00033922-r	soon%4:02:00::
00033922-r	shortly%4:02:00::
00033922-r	presently%4:02:01::
00033922-r	before_long%4:02:00::
00034137-r	ASAP%4:02:00::
00034189-r	shortly%4:02:01::
00034308-r	shortly%4:02:03::
00034403-r	momentarily%4:02:00::
00034403-r	momently%4:02:00::
00034500-r	shoulder-to-shoulder%4:02:00::
00034641-r	soonest%4:02:00::
00034641-r	earliest%4:02:00::
00034746-r	spiritedly%4:02:00::
00034862-r	sportively%4:02:00::
00034945-r	stormily%4:02:00::
00034945-r	turbulently%4:02:01::
00034945-r	passionately%4:02:01::
00035058-r	frequently%4:02:00::
00035058-r	often%4:02:00::
00035058-r	oftentimes%4:02:00::
00035058-r	oft%4:02:00::
00035058-r	ofttimes%4:02:00::
00035255-r	oftener%4:02:00::
00035320-r	anon%4:02:01::
00035385-r	rarely%4:02:00::
00035385-r	seldom%4:02:00::
00035491-r	curiously%4:02:01::
00035491-r	oddly%4:02:00::
00035491-r	peculiarly%4:02:00::
00035718-r	reasonably%4:02:00::
00035718-r	moderately%4:02:00::
00035718-r	pretty%4:02:00::
00035718-r	jolly%4:02:00::
00035718-r	somewhat%4:02:00::
00035718-r	fairly%4:02:02::
00035718-r	middling%4:02:00::
00035718-r	passably%4:02:00::
00036068-r	unreasonably%4:02:00::
00036068-r	immoderately%4:02:02::
00036291-r	slightly%4:02:01::
00036291-r	somewhat%4:02:01::
00036291-r	more_or_less%4:02:01::
00036515-r	movingly%4:02:00::
00036609-r	extensively%4:02:00::
00036762-r	intrinsically%4:02:00::
00036762-r	per_se%4:02:00::
00036762-r	as_such%4:02:00::
00036762-r	in_and_of_itself%4:02:00::
00036935-r	decidedly%4:02:00::
00036935-r	unquestionably%4:02:01::
00036935-r	emphatically%4:02:00::
00036935-r	definitely%4:02:00::
00036935-r	in_spades%4:02:00::
00036935-r	by_all_odds%4:02:00::
00037226-r	truly%4:02:00::
00037226-r	genuinely%4:02:00::
00037226-r	really%4:02:03::
00037470-r	indeed%4:02:02::
00037641-r	indeed%4:02:03::
00037641-r	so%4:02:00::
00037876-r	in_the_lurch%4:02:00::
00038013-r	in_truth%4:02:01::
00038013-r	really%4:02:02::
00038013-r	truly%4:02:04::
00038264-r	forsooth%4:02:00::
00038388-r	in_utero%4:02:00::
00038489-r	in_vacuo%4:02:00::
00038537-r	in_vacuo%4:02:01::
00038625-r	naturally%4:02:00::
00038625-r	of_course%4:02:00::
00038625-r	course%4:02:00::
00038767-r	unnaturally%4:02:03::
00039058-r	clearly%4:02:00::
00039217-r	unclearly%4:02:00::
00039318-r	obviously%4:02:00::
00039318-r	evidently%4:02:00::
00039318-r	manifestly%4:02:00::
00039318-r	patently%4:02:00::
00039318-r	apparently%4:02:01::
00039318-r	plainly%4:02:00::
00039318-r	plain%4:02:00::
00039941-r	apparently%4:02:00::
00039941-r	seemingly%4:02:00::
00039941-r	ostensibly%4:02:00::
00039941-r	on_the_face_of_it%4:02:00::
00040365-r	again%4:02:00::
00040365-r	once_again%4:02:00::
00040365-r	once_more%4:02:00::
00040365-r	over_again%4:02:00::
00040494-r	withal%4:02:00::
00040547-r	by_chance%4:02:00::
00040547-r	accidentally%4:02:00::
00040547-r	circumstantially%4:02:01::
00040547-r	unexpectedly%4:02:00::
00040719-r	unexpectedly%4:02:01::
00040719-r	out_of_the_blue%4:02:00::
00040882-r	out_of_the_way%4:02:00::
00041014-r	out_of_the_way%4:02:01::
00041133-r	out_of_the_way%4:02:02::
00041232-r	out_of_the_way%4:02:03::
00041393-r	out_of_the_way%4:02:04::
00041452-r	out_of_the_way%4:02:05::
00041570-r	in_the_way%4:02:00::
00041570-r	in_someone's_way%4:02:00::
00041758-r	specifically%4:02:00::
00041954-r	generally%4:02:01::
00041954-r	in_general%4:02:00::
00041954-r	in_the_main%4:02:00::
00042134-r	nonspecifically%4:02:00::
00042254-r	fortunately%4:02:00::
00042254-r	fortuitously%4:02:00::
00042254-r	luckily%4:02:00::
00042254-r	as_luck_would_have_it%4:02:00::
00042484-r	happily%4:02:00::
00042614-r	sadly%4:02:00::
00042614-r	unhappily%4:02:01::
00042769-r	unfortunately%4:02:00::
00042769-r	unluckily%4:02:00::
00042769-r	regrettably%4:02:00::
00042769-r	alas%4:02:00::
00043003-r	therefore%4:02:00::
00043003-r	hence%4:02:00::
00043003-r	thence%4:02:00::
00043003-r	thus%4:02:00::
00043003-r	so%4:02:0a::
00043347-r	ergo%4:02:00::
00043436-r	hence%4:02:01::
00043521-r	hence%4:02:02::
00043608-r	thence%4:02:01::
00043608-r	therefrom%4:02:01::
00043794-r	thence%4:02:02::
00043794-r	therefrom%4:02:02::
00043794-r	thereof%4:02:02::
00044076-r	therefor%4:02:00::
00044262-r	vocationally%4:02:00::
00044394-r	face_to_face%4:02:00::
00044579-r	one-on-one%4:02:00::
00044579-r	person-to-person%4:02:00::
00044754-r	face-to-face%4:02:02::
00044861-r	face-to-face%4:02:05::
00044861-r	opposite%4:02:00::
00045092-r	vis-a-vis%4:02:00::
00045254-r	tete_a_tete%4:02:00::
00045379-r	if_not%4:02:00::
00045607-r	beyond%4:02:00::
00045704-r	beyond%4:02:01::
00045897-r	beyond%4:02:02::
00046002-r	otherwise%4:02:01::
00046167-r	additionally%4:02:00::
00046167-r	to_boot%4:02:00::
00046299-r	extremely%4:02:00::
00046299-r	exceedingly%4:02:00::
00046299-r	super%4:02:00::
00046299-r	passing%4:02:00::
00046449-r	drop-dead%4:02:00::
00046545-r	beyond_measure%4:02:00::
00046639-r	madly%4:02:00::
00046639-r	insanely%4:02:02::
00046639-r	deadly%4:02:00::
00046639-r	deucedly%4:02:00::
00046639-r	devilishly%4:02:02::
00046863-r	inordinately%4:02:00::
00046863-r	extraordinarily%4:02:00::
00047056-r	by_far%4:02:00::
00047056-r	far_and_away%4:02:00::
00047056-r	out_and_away%4:02:00::
00047239-r	head_and_shoulders_above%4:02:00::
00047392-r	excessively%4:02:00::
00047392-r	overly%4:02:00::
00047392-r	to_a_fault%4:02:00::
