i719	00135633-s
i720	00135772-a
i721	00136163-s
i722	00136264-s
i723	00136413-s
i724	00136526-s
i725	00136789-a
i726	00137152-s
i727	00137256-s
i728	00137425-a
i729	00137678-s
i730	00137816-s
i731	00137973-s
i732	00138209-s
i733	00138366-s
i734	00138641-s
i735	00138769-s
i736	00138909-a
i737	00138993-a
i738	00139211-a
i739	00139437-a
i740	00139582-s
i741	00139890-a
i742	00140050-s
i743	00140180-a
i744	00140394-a
i745	00140612-a
i746	00140760-s
i747	00140970-s
i748	00141138-a
i749	00141258-s
i750	00141343-s
i751	00141501-a
i752	00141705-a
i753	00141810-a
i754	00142148-s
i755	00142257-s
i756	00142379-s
i757	00142584-s
i758	00142697-s
i759	00142790-a
i760	00142915-s
i761	00143014-s
i762	00143086-a
i763	00143215-a
i764	00143308-a
i765	00143538-a
i766	00143675-a
i767	00143890-s
i768	00143972-s
i769	00144093-s
i770	00144185-a
i771	00144469-s
i772	00144562-s
i773	00144644-s
i774	00144784-s
i775	00144857-a
i776	00145122-s
i777	00145288-s
i778	00145370-s
i779	00145512-s
i780	00145676-s
i781	00145778-s
i782	00145866-s
i783	00145996-a
i784	00146145-a
i785	00146351-s
i786	00146896-s
i787	00146974-s
i788	00147073-s
i789	00147151-s
i790	00147263-a
i791	00147396-s
i792	00147478-a
i793	00147698-s
i794	00147769-s
i795	00147877-s
i796	00147961-s
i797	00148054-a
i798	00148151-a
i799	00148320-s
i800	00148428-s
i801	00148665-s
i802	00148796-a
i803	00148927-s
i804	00149002-a
i805	00149346-s
i806	00149910-s
i807	00150120-s
i808	00150388-s
i809	00150530-s
i810	00150729-s
i811	00150954-s
i812	00151129-a
i813	00151323-s
i814	00151470-a
i815	00151773-s
i816	00152103-s
i817	00152204-s
i818	00152373-a
i819	00152798-s
i820	00152929-s
i821	00153123-s
i822	00153272-s
i823	00153372-s
i824	00153553-s
i825	00153897-s
i826	00154052-s
i827	00154164-a
i828	00154351-s
i829	00154507-a
i830	00154678-a
i831	00154813-s
i832	00154919-a
i833	00155056-s
i834	00155165-a
i835	00155430-s
i836	00155537-s
i837	00155850-s
i838	00156104-s
i839	00156232-a
i840	00156411-s
i841	00156987-s
i842	00157153-s
i843	00157368-a
i844	00157706-s
i845	00157841-s
i846	00158105-a
i847	00158346-s
i848	00158534-s
i849	00158655-a
i850	00158924-s
i851	00159114-a
i852	00159190-a
i853	00159375-s
i854	00159503-s
i855	00159597-s
i856	00159672-a
i857	00159811-s
i858	00159966-a
i859	00160129-s
i860	00160226-s
i861	00160371-s
i862	00160532-s
i863	00160646-a
i864	00160763-a
i865	00161000-a
i866	00161240-a
i867	00161409-a
i868	00161553-s
i869	00161690-a
i870	00161838-a
i871	00162033-s
i872	00162222-s
i873	00162330-a
i874	00162435-s
i875	00162541-a
i876	00162696-a
i877	00162949-s
i878	00163143-s
i879	00163258-s
i880	00163348-a
i881	00163513-s
i882	00163651-a
i883	00163926-s
i884	00164128-s
i885	00164255-a
i886	00164580-s
i887	00164745-s
i888	00164857-a
i889	00165213-s
i890	00165570-s
i891	00165724-s
i892	00165860-s
i893	00165943-s
i894	00166125-a
i895	00166433-s
i896	00166720-s
i897	00166847-s
i898	00167028-s
